College,College District,Articulation,College Program,Career Cluster,College Course,College Course Name,College Credits,College Course CIP Code,College Course Description,High School,HS Course Name,HS Course CIP Code,HS Course Credits,HS Course Description,Academic Years,Type of Credit,Status of Articulation
Skagit Valley College,,Computer Application Essentials (Empowering Your Future),,,Computer Application Essentials INFO 101,,,,"Provides students with foundational knowledge and skills in using essential computer software applications. The course covers key areas such as word processing, spreadsheets, and presentation software, along with an introduction to digital literacy, file management, and internet research. Students will develop practical, hands-on experience to enhance productivity and efficiency in academic, professional, and personal tasks.",,Empowering Your Future CTB104 [Computer App Essentials],,,"Introduces students to fundamental computer skills necessary for academic and professional success. The course covers essential software applications, including word processing, spreadsheets, and presentations, while emphasizing digital literacy, problem-solving, and productivity tools. Students will develop practical skills to efficiently use technology in everyday tasks and enhance their ability to communicate and collaborate in a digital world.",,,
Everett,,Computer Science,,,SOFT 101,Introduction to Information Technology [Computer Science],,,"Introduces students to the fundamentals of information technology, including computer hardware, software, networks, and basic problem-solving techniques in IT.",,AP Computer Science Principles A [Computer Science],,,"Focuses on the foundational principles of computer science, including algorithms, programming, and problem-solving with a focus on digital technology's impact on society.",,,
Skagit Valleu College,,Culinary Arts I Intro Fundamentals to Culinary Arts,,,Culinary Arts I - Intro Fundamentals to Culinary Arts CARTS 101,,,,"Provides an introduction to culinary arts, covering essential kitchen techniques, food safety, and basic cooking methods for a professional culinary environment.",,Culinary Essentials 1 [Cul Arts I],,,"Introduces students to the basics of cooking, including knife skills, kitchen safety, food preparation, and cooking techniques in a hands-on culinary environment",,Running Start,Pending
Everett College,,Culinary Arts III Garde Manger I,,,Culinary Arts III - Garde Manger I CARTS 105,,,,"Focuses on advanced cold food preparation, including salads, dressings, pâtés, and hors d'oeuvres, with an emphasis on presentation and professional kitchen practices.",,Culinary Essentials 3 [Cul Arts III],,,"Focuses on advanced culinary skills, professional kitchen management, and preparing complex dishes while continuing to build on prior culinary knowledge.",,,Active
Bellingham College,,Introduction to Baking (CARTS111),,,Introduction to Baking CARTS 111,,,,"Covers the fundamentals of baking, including techniques for preparing breads, pastries, cakes, and desserts, with a focus on ingredients and baking methods.",,Culinary Essentials 2 [Intro to Baking],,,"Introduces students to the basics of baking, including the preparation of breads, pastries, and desserts, with an emphasis on measurement, techniques, and recipe development.",,College in the High School,Active
Bellevue College,,Introduction to Programming,,,Introduction to Programming SOFT 102,,,,"Introduces students to the basics of programming, focusing on problem-solving techniques, programming logic, and fundamental coding principles using a beginner-friendly language.",,Computer Programming 1 [Intro to Programming] // Computer Programming 2 [Intro to Programming],,,"Introduces students to computer programming concepts, logic, and basic coding techniques using a beginner-friendly programming language.",,,Pending
Skagit Valley,,Introduction to Video Production,,,Basic Digital Video Editing (Intro to Video Prod) BROAD 142 // Intro to Studio and Field Production (Intro to Video Prod) BROAD 132,,,,"Teaches the basics of digital video editing, including cutting, arranging, and enhancing video footage using industry-standard software and techniques.",,Video Prod 1 (CTT103) // Video Prod 2 (CTT163),,,"Covers the basics of video production, including filming, editing, and post-production, with a focus on storytelling and creative techniques for visual media.",,CTE Dual Credit,Pending
Everett,,Medical Terminology I,,,Medical Terminology I AMA 117,,,,"Introduces medical terminology, focusing on the vocabulary used in healthcare settings, including terms related to anatomy, diseases, and medical procedures.",,Human Body Systems A CTF221 [Med Term I] // Human Body Systems B CTF222 [Med Term II],,,"Introduces the study of human anatomy and physiology, focusing on medical terminology related to the body’s systems and common health conditions.",,CTE Dual Credit,Active
Wenatchee Valley,,Medical Terminology II,,,Medical Terminology II AMA 121/128,,,,"Expands on Medical Terminology I, covering more complex terms related to body systems, medical conditions, treatments, and clinical procedures.",,Human Body Systems B CTF222 [Med Term II],,,"Builds on Medical Terminology I, further exploring the body’s systems, diseases, and medical practices, emphasizing the language used in healthcare settings.",,CTE Dual Credit,Active
Skagit Valley College,,Power Sports & Equipment: Maintenance,,,Power Sports and Equipment: Maintenance POW 102,,,,"Teaches the maintenance and repair of power sports equipment, including motorized vehicles, with an emphasis on troubleshooting and basic mechanical skills.",,Small Engines/Power Sports 1A [PSE Maintenance] // Small Engines/Power Sports 1B [PSE Maintenance],,,"Focuses on the fundamentals of small engine maintenance, including diagnostics, repairs, and basic troubleshooting techniques for small engines and power sports equipment.",,Running Start,Active
SVC,,Power Sports & Equipment: Tools and Equipment,,,Power Sports and Equipment: Tools and Equipment POW 101/856,,,,"Introduces students to the tools and equipment used in the maintenance and repair of power sports machinery, focusing on safe tool handling and proper maintenance procedures.",,Small Engines/Power Sports 2A [PSE Tools/Equipment] // Small Engines/Power Sports 2B [PSE Tools/Equipment],,,"Introduces students to the use and care of tools and equipment in small engine repair, along with advanced techniques for maintaining and restoring power sports machinery.",,CTE Dual Credit,Pending
Skagit Valley College,,Two Dimensional Fundamentals,,,Two Dimensional Fundamentals ENGR& 111,,,,"Introduces the basics of engineering design, focusing on creating technical drawings, blueprints, and 2D representations used in engineering and architecture.",,Engineering Essentials A CTM101 [Two Dimensional Fundamentals] // Engineering Essentials B CTM102 [Two Dimensional Fundamentals],,,"Provides a foundation in engineering concepts with a focus on two-dimensional drafting, design, and the principles behind technical drawings and blueprints",,CTE Dual Credit,Pending
Everett,,Culinary Arts I Intro Fundamentals to Culinary Arts,,,Culinary Arts I - Intro Fundamentals to Culinary Arts CARTS 101,,,,"Provides an introduction to culinary arts, covering essential kitchen techniques, food safety, and basic cooking methods in a professional kitchen setting.",,Culinary Essentials 1A [Cul Arts I] // Culinary Essentials 1B [Cul Arts I],,,"Provides an introduction to basic culinary techniques, kitchen safety, and the fundamentals of food preparation, with hands-on experience in the kitchen.",,College in the High School,Pending
Skagit,,Introduction to Baking,,,Introduction to Baking CARTS 111,,,,"Teaches the basics of baking, including breads, pastries, cakes, and desserts, emphasizing ingredients, techniques, and baking science.",,Culinary Arts 2 [Intro to Baking],,,"An advanced exploration of baking, focusing on pastry making, cake decoration, and advanced baking techniques for breads, desserts, and more.",,CiHS,Active
Everett College,,Introduction to Programming,,,Introduction to Programming SOFT 102,,,,"Introduces students to programming, focusing on basic coding techniques, problem-solving, and the fundamentals of writing and debugging programs.",,Computer Programming 1a [Intro to Prog] // Computer Programming 1b [Intro to Prog],,,"Introduces students to the basics of computer programming, including logical thinking, coding principles, and the use of introductory programming languages.",,CTE Dual Credit,Active
Everett,,Medical Terminology I,,,Medical Terminology I AMA 117,,,,"Teaches foundational medical terminology related to anatomy, diseases, and clinical procedures commonly encountered in healthcare.",,Medical Terminology A VCTF234 // Medical Terminology B VCTF235,,,"Focuses on understanding and applying medical terminology related to the human body, including the structure, functions, and medical conditions of various systems.",,CTE Dual Credit,Pending
Everett,,BluePrint Reading Youth Apprenticeship,,,BluePrint Reading (youth apprenticeship) MACH 119 (IMMA 101/APM 103/PMF 202),,,,"Focuses on reading and interpreting blueprints used in manufacturing and construction, preparing students to work with technical drawings in industrial settings.",,Core Plus Aerospace I TAE623 // Core Plus Aerospace I TAE624,,,"Introduces students to the basics of aerospace engineering, including the principles of flight, aircraft systems, and aerospace technology.",,CTE Dual Credit,Pending
Bellevue,,Child Care Basics (ECED&100),,,Child Care Basics ECED& 100,,,,"Introduces students to the basics of early childhood education, focusing on child development, caregiving, and creating a safe and stimulating learning environment.",,Careers with Children - FCS726 [Child Care Basics],,,"Introduces students to the fundamentals of child care, focusing on developmental stages, caregiving practices, and understanding children’s needs in early education settings.",,Running Start,Active
